@_id,text,aspectTerms/aspectTerm/0/@_term,aspectTerms/aspectTerm/0/@_polarity,aspectTerms/aspectTerm/0/@_from,aspectTerms/aspectTerm/0/@_to,aspectTerms/aspectTerm/1/@_term,aspectTerms/aspectTerm/1/@_polarity,aspectTerms/aspectTerm/1/@_from,aspectTerms/aspectTerm/1/@_to,aspectTerms/aspectTerm/2/@_term,aspectTerms/aspectTerm/2/@_polarity,aspectTerms/aspectTerm/2/@_from,aspectTerms/aspectTerm/2/@_to,aspectTerms/aspectTerm/3/@_term,aspectTerms/aspectTerm/3/@_polarity,aspectTerms/aspectTerm/3/@_from,aspectTerms/aspectTerm/3/@_to,ac1,acp1,aspectTerms/aspectTerm/@_term,aspectTerms/aspectTerm/@_polarity,aspectTerms/aspectTerm/@_from,aspectTerms/aspectTerm/@_to,ac2,acp2,ac3,acp3,ac4,acp4,aspectTerms/aspectTerm/4/@_term,aspectTerms/aspectTerm/4/@_polarity,aspectTerms/aspectTerm/4/@_from,aspectTerms/aspectTerm/4/@_to
2211,And the Tom Kha soup was pathetic.,,,,,,,,,,,,,,,,,food,negative,Tom Kha soup,negative,8,20,,,,,,,,,,
3343,The food now is inconsistent.,,,,,,,,,,,,,,,,,food,negative,food,negative,4,8,,,,,,,,,,
2141,"Try the crunchy tuna, it is to die for.",,,,,,,,,,,,,,,,,food,positive,crunchy tuna,positive,8,20,,,,,,,,,,
83,Reasonable prices.,,,,,,,,,,,,,,,,,price,positive,prices,positive,11,17,,,,,,,,,,
381,Everything at Sala Thai is tasty and well-portioned.,,,,,,,,,,,,,,,,,food,positive,,,,,,,,,,,,,,
3315,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,service,positive,18,25,food,positive,36,40,price,positive,57,62,,,,,,,,,,,food,positive,price,positive,service,positive,,,,
1709,"Unfortunately, the food was NOT something to get worked up about.",,,,,,,,,,,,,,,,,food,negative,food,negative,19,23,,,,,,,,,,
193,The food is great and reasonably priced.,food,positive,4,8,priced,positive,33,39,,,,,,,,,,,,,,,food,positive,price,positive,,,,,,
2459,I got enough reasons to keep coming back!!!,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
1293,"Their calzones are horrific, bad, vomit-inducing, YUCK.",,,,,,,,,,,,,,,,,food,negative,calzones,negative,6,14,,,,,,,,,,
2105,"A few tips: skip the turnip cake, roast pork buns and egg custards.",turnip cake,negative,21,32,roast pork buns,negative,34,49,egg custards,negative,54,66,,,,,food,negative,,,,,,,,,,,,,,
2152,The bagels are fabulous.,,,,,,,,,,,,,,,,,food,positive,bagels,positive,4,10,,,,,,,,,,
3358,I never had anything I didn't like here.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
2751,I definitely wouldn't go back.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,negative,,,,,,,,,,,,,,
882,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",ambiance,positive,10,18,atmosphere,positive,23,33,food,negative,50,54,service,negative,59,66,,,,,,,ambience,positive,food,negative,service,negative,,,,
1124,"Our waitress was sweet and accomodating, not overbearing.",,,,,,,,,,,,,,,,,service,positive,waitress,positive,4,12,,,,,,,,,,
3546,I have tried literally every restaurant on curry row.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,neutral,,,,,,,,,,,,,,
3020,"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.",fish,positive,33,37,rice,positive,45,49,seaweed,positive,57,64,,,,,food,positive,,,,,,,,,,,,,,
746,I went to this restaurant with a woman that I met recently.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,neutral,,,,,,,,,,,,,,
3170,"Good spreads, great beverage selections and bagels really tasty.",spreads,positive,5,12,beverage selections,positive,20,39,bagels,positive,44,50,,,,,food,positive,,,,,,,,,,,,,,
2171,The food options rule.,,,,,,,,,,,,,,,,,food,positive,food options,positive,4,16,,,,,,,,,,
2811,Consistently good Japanese Tapas.,,,,,,,,,,,,,,,,,food,positive,Japanese Tapas,positive,18,32,,,,,,,,,,
762,I went to Ruby Foo's after work with a group of 6.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,neutral,,,,,,,,,,,,,,
339,The sushi was awful!,,,,,,,,,,,,,,,,,food,negative,sushi,negative,4,9,,,,,,,,,,
217,My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
3478,Now it's so crowded and loud you can't even talk to the person next to you.,,,,,,,,,,,,,,,,,ambience,negative,,,,,,,,,,,,,,
1180,"Go, go, hurry, before everyone finds out about it.",,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
3372,I've been many time and have never been disappointed.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
776,The food was great.,,,,,,,,,,,,,,,,,food,positive,food,positive,4,8,,,,,,,,,,
3208,Don't leave without trying One Night in Tokyo.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
2673,I would go back tho.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
1380,Definately check it out!!!,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
3641,You cannot go wrong with this place.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
2806,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
2630,I loving bringing friends here -and I do so every chance I get.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
924,With the theater 2 blocks away we had a delicious meal in a beautiful room.,meal,positive,50,54,room,positive,70,74,,,,,,,,,,,,,,,food,positive,ambience,positive,,,,,,
3411,Even my Indian friend couldn't believe how good and tasty everything was.,,,,,,,,,,,,,,,,,food,positive,,,,,,,,,,,,,,
2164,We were not dissappointed in the least bit by this little gem.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
3077,A pleasant surprise.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
745,This was a repeat visit and we'll definitely be back again.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
1273,I love the fact that the pizza tastes so good and is so cheap.,,,,,,,,,,,,,,,,,,,pizza,positive,25,30,food,positive,price,positive,,,,,,
179,"Service was prompt, friendly and great.",,,,,,,,,,,,,,,,,service,positive,Service,positive,0,7,,,,,,,,,,
2460,OU MUST TRY THIS RESTAURANT.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
3045,All pretty good.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
1698,"Have eaten at Ginger House several times, and it's always good.",,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
109,"I haven't eat a lamb chop as delicious as that, the salads are really nice dressed with lemon and extra virgnin olive oil.",lamb chop,positive,16,25,salads,positive,52,58,,,,,,,,,food,positive,,,,,,,,,,,,,,
1057,Drawbacks: service is slow and they don't toast!,,,,,,,,,,,,,,,,,service,negative,service,negative,11,18,,,,,,,,,,
2186,It is by far my favorite restaurant in Brooklyn.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
3471,I've been to Joya twice and I will never go again.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,negative,,,,,,,,,,,,,,
1401,A hearty two thumbs up!,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
1112,Great find!!!,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
3368,"If only they delivered, they'd make a mint!",,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
3495,Was surprisingly disappointed.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,negative,,,,,,,,,,,,,,
2451,The prices were fantastic.,,,,,,,,,,,,,,,,,price,positive,prices,positive,4,10,,,,,,,,,,
948,I'm told that it is open 24hrs which is good.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
2202,What more could you want?,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
2740,Excellent experience.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
537,Definitely a neighborhood favorite.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
1548,"The food is terrible and overall, I would have to say avoid at all costs.",,,,,,,,,,,,,,,,,food,negative,food,negative,4,8,,,,,,,,,,
134,The food is prepared quickly and efficiently.,,,,,,,,,,,,,,,,,food,positive,food,positive,4,8,,,,,,,,,,
2708,"The food is fresh, delicious, and reasonably priced.",food,positive,4,8,priced,positive,45,51,,,,,,,,,,,,,,,food,positive,price,positive,,,,,,
1455,This is my favorite Italian restaurant in all of New York City.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
2591,"Anyway, this is the last time I cross the williamsburg.",,,,,,,,,,,,,,,,,anecdotes/miscellaneous,negative,,,,,,,,,,,,,,
1593,I am bringing my whole family back next time.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
1769,Love YUKA.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
3575,"As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry.",,,,,,,,,,,,,,,,,anecdotes/miscellaneous,neutral,waiter,neutral,68,74,,,,,,,,,,
1105,I have been coming to this neighborhood spot for years.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,neutral,,,,,,,,,,,,,,
2575,We will be back.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
742,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,,,,,,,,,,,,,,,,,ambience,positive,outdoor atmosphere,positive,4,22,,,,,,,,,,
1471,"A large is $20, and toppings are about $3 each.",,,,,,,,,,,,,,,,,price,neutral,toppings,neutral,20,28,,,,,,,,,,
1656,The spicy tuna and salmon are the best we've ever had.,spicy tuna,positive,4,14,salmon,positive,19,25,,,,,,,,,food,positive,,,,,,,,,,,,,,
2769,A guaranteeed delight!,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,positive,,,,,,,,,,,,,,
3681,"The food was very good, a great deal, and the place its self was great.",food,positive,4,8,place,positive,46,51,,,,,,,,,,,,,,,food,positive,ambience,positive,price,positive,,,,
2205,The food is usually good but it certainly isn't a relaxing place to go.,food,positive,4,8,place,negative,59,64,,,,,,,,,,,,,,,food,positive,ambience,negative,,,,,,
1159,"After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY.",dinner,neutral,6,12,dance floor,positive,41,52,,,,,,,,,ambience,positive,,,,,,,,,,,,,,
628,The server was really cool and served us our food and drinks with a smile.,server,positive,4,10,served,positive,31,37,food,neutral,45,49,drinks,neutral,54,60,service,positive,,,,,,,,,,,,,,
2912,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",dishes,positive,4,10,lamb sausages,positive,62,75,sardines with biscuits,positive,77,99,large whole shrimp,positive,101,119,food,positive,,,,,,,,,,,pistachio ice cream,positive,135,154
3188,Went there for an office lunch.,,,,,,,,,,,,,,,,,anecdotes/miscellaneous,neutral,office lunch,neutral,18,30,,,,,,,,,,
3041,"We've only eaten in the restaurant once, but we have ordered many times for dinner.",,,,,,,,,,,,,,,,,anecdotes/miscellaneous,neutral,dinner,neutral,76,82,,,,,,,,,,
