text,AC,ACP
The soup for the udon was soy sauce and water.,food,negative
"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",food,positive
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",food,positive
Try their plain pizza with fresh garlic or eggplant.,food,positive
"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",food,positive
"Trust me, it will be great, and all of it will be devoured in no time.",food,positive
The pizza is good though.,food,positive
"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",food,positive
You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,food,positive
"word of advice, save room for pasta dishes and never leave until you've had the tiramisu.",food,positive
Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,food,positive
Our food was great too!,food,positive
"Please try the Filet Mignon, its just the most tender piece ever.",food,positive
"Everything we had was pretty good, but we have only been there once.",food,positive
The sake menu should not be overlooked!,food,positive
i've been back to nha trang literally a hundred times for the beef cubes - they're that good.,food,positive
"The food was pretty good, but a little flavorless and the portions very small, including dessert.",food,conflict
The food here does a great service to the name (Cantonese that is...).,food,positive
"But, nothing stands out about the cooking.",food,neutral
"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.",food,negative
"I work near-by, and they have the BEST oatmeal in the neighborhood- not a packaged or quick-cooked item.",food,positive
Too bad the food wasn't of the same heritage.,food,negative
"The food was really good, I had the onion soup and it was one of the best ever.",food,positive
I'm not picky - but it was actually gross.,food,negative
"Based on the reviews for dinner, this is a place I would reconsider revisiting for that, but definitely not for Dim Sum again.",food,conflict
"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",food,positive
"The dim sum is ok but doesn't taste that fresh, and the little dishes don't look steamy hot as they should (also note lack of Chinese here).",food,negative
If you want good authentic Thai this place is not the place to go.,food,negative
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,food,neutral
"If you want some roast duck, pork or chicken on rice with ginger, try them out!",food,positive
Very popular style Izakaya (Sake and small portion of sake-friendly dishes ).,food,positive
This is an amazing place to try some roti rolls.,food,positive
Fresh ingredients and everything is made to order.,food,positive
"They are tasty, but I suggest only eating one with meat because they tend not to mesh that well with the average American digestive system.",food,conflict
"Try the hot dogs too, they're snappy and delicious.",food,positive
Personal pans are the perfect size for those hungry nights.,food,positive
Highly recommended is the Spicy Fried Clam Rolls and Spider Rolls.,food,positive
just got back from lunch at Tamarind and it was excellent.,food,positive
"head and shoulders above its neighboors on east 6 st, taj mahal is also very comparable, in food quality, to the much overpraised (and underdeserving) baluchi's.",food,positive
Try the cheesecake!,food,positive
"I had the salmon dish and while it was fine, for the price paid, I expected it to have some type of flavor.",food,conflict
We ordered a tuna melt - it came with out cheese which just made it a tuna sandwich.,food,negative
"Especially liked chicken tikka and the naan, and the dals.",food,positive
The sangria was pretty tasty and good on a hot muggy day.,food,positive
I had the best ravioli ever.,food,positive
"While the menu isn't especially groundbreaking, everything I've tried so far has been well-executed and tasty.",food,conflict
"Quite frankly, this is some of the worst sushi I have ever tried.",food,negative
"He not only makes his own homemade mozzarella, but every pie is ultra fresh.",food,positive
Fish was overdone.,food,negative
Good food.,food,positive
The dim sum however was very good.,food,positive
Went there and had a combination of different seafood dishes and appetizers.,food,neutral
Plain and simple it's bad thai food.,food,negative
Usually 3 vs. 4 items per dish.,food,neutral
"While certain staples are excellent (the burger, some of the pastas), the food is not really the point.",food,conflict
"The Dim Sum was so-so, but not spectacular.",food,neutral
The food was so-so.,food,neutral
Food-awesome.,food,positive
The sides were ok and incredibly salty.,food,negative
"For some reason, all the seafood on the menu was unavailable except for the Salmon.",food,negative
"The beverages were excellent, and the dessert was good.",food,positive
"Next time, we wouldn't dare ordering anything else other than some simple Asian appetizers and drinks.",food,conflict
"If you'd like to have a nice light meal with an asian accent, Long Tan is a good place on the slope.",food,positive
The food is awesome - definitely try the striped bass.,food,positive
black white shakes came out good also.,food,positive
I ordered the chu chu curry and my friend ordered the pad thai chicken.,food,neutral
We go on Mondays for the prix fixe and our experience with the food has been comparable to Blue Ribbon.,food,neutral
"However, they've got the most amazing pastrami and the soups hit the spot.",food,positive
Great bagels made the old-fashioned way.,food,positive
"my personal favorite is an everything bagel with lox spread, but all the bagles are unbeliavably good.",food,positive
"I wouldn't even have complained at all if the food at least tasted good but the quality of food was crappy, too.",food,negative
The desserts are more appealing then stuffy overpriced French restaurants.,food,positive
"I found the food to be outstanding, particulary the salmon dish I had.",food,positive
Mizu is home to creative and unique rolls not to found anywhere else.,food,positive
"Moules were excellent, lobster ravioli was VERY salty!",food,conflict
"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",food,positive
i don't usually order wine with indian so i can't comment on their wine list or their wines.,food,neutral
Pastrami or corned beef are juicy and piled high (ask for extra rye bread).,food,positive
"Really though, where's the seasoning?",food,negative
"The food was just OK, at least for what food was available.",food,negative
"otherwise, good stuff for late nite eats.",food,positive
"The dinner was ok, nothing I would have again.",food,negative
It is thick and slightly soggy.,food,negative
I love and I know gourmet food by excellence!,food,positive
"The first time the sushi was outstanding, the second time it was a little bland.",food,conflict
"delicious bagels, especially when right out of the oven.",food,positive
All the food was hot tasty.,food,positive
This is one great place to eat pizza more out but not a good place for take-out pizza.,food,conflict
Try green curry with vegetables.,food,positive
"The food was not very tasty, the portioins were tiny even for such a high quality restaurant.",food,negative
"The Pad Thai is excellent here, as well.",food,positive
I do not recommend lunch specials just because it tasts the same with other regular chinese restaurant.,food,negative
"The food is o.k., but not any better than what you get at a good neighborhood restaurant.",food,neutral
We had the pot-stickers which were great and a tempura dish that was great.,food,positive
"Orsay, is without a doubt one of the best values for authentic French food in NYC.",food,positive
Chinese Desserts are known for healthful benefits in addition to the sweetness.,food,positive
And really large portions.,food,positive
I ordered the smoked salmon and roe appetizer and it was off flavor.,food,negative
"We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food.",food,positive
"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",food,positive
"The menu was impressive with selections ranging from a burger, to steak, to escargot.",food,positive
"In fact, two people could really share one plate.",food,positive
The food is great and authentic.,food,positive
This place has many different styles of pizza and they are all amazing.,food,positive
The food was lousy - too sweet or too salty and the portions tiny.,food,negative
But the coconut rice was good.,food,positive
The food was great.,food,positive
All of my co-workers stated that the food was amazing and wondered why they hadn't heard about this place.,food,positive
"But, they were too big for the bun.",food,negative
Raga stands out with an interesting fusion of French and Indian cooking.,food,positive
"A few tips: skip the turnip cake, roast pork buns and egg custards.",food,negative
The bagels are fabulous.,food,positive
The food options rule.,food,positive
"Anybody who likes this place must be from a different planet, where greasy, dry and tasteless are complimentary.",food,negative
"We ate here in March, 2006 and ordered the pre-theatre 3-course dinner with wine flight.",food,neutral
"Their calzones are horrific, bad, vomit-inducing, YUCK.",food,negative
"Good spreads, great beverage selections and bagels really tasty.",food,positive
"Also, top the meal with a delicious and perfect slice of tiramisu.",food,positive
Stick to the gulab jamun.,food,positive
By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.,food,positive
I would definitely recommend SEA if you like thai cuisine!,food,positive
"My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.",food,conflict
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",food,positive
"The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY.",food,positive
The food is prepared quickly and efficiently.,food,positive
"For all of you new to Indian food, try the Paneer Roll, it is a piece of heaven.",food,positive
The food looked very appetizing and delicious since it came on a variety of fancy plates.,food,positive
Both the fresh mozzerella slices and the Plain Cheese slice are phenomenal.,food,positive
"The food is terrible and overall, I would have to say avoid at all costs.",food,negative
"Unfortunately, the food was NOT something to get worked up about.",food,negative
I had Filet Mignon with garlic mash.,food,neutral
"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad.",food,positive
"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",food,positive
"While this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.",food,positive
"Over the years, it has always provided a pleasurable dining experience with quality food and wine.",food,positive
"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered.",food,positive
too large for just two people but nothing was left.,food,positive
I cannot imagine better Indian food in all of the city.,food,positive
very good breads as well.,food,positive
"Pizza is terrific, as is homemade pasta.",food,positive
"From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.",food,positive
Consistently good Japanese Tapas.,food,positive
"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.",food,positive
"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",food,positive
"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",food,positive
The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,food,positive
"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses.",food,positive
"It's not mind-blowing, but to me, thai food never is and never will be.",food,neutral
"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",food,conflict
"Although, one night we went it was super cheesy, and another night it was less cheesy.",food,conflict
"i've been to sapphire twice and both times the food was fine, if not good.",food,positive
"I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.",food,positive
The sushi was awful!,food,negative
"The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience.",food,positive
The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,food,negative
"Late nite omelletes are not good here, there is no variety!",food,negative
Everything at Sala Thai is tasty and well-portioned.,food,positive
"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",food,conflict
"For many people, this may not seem like Aunthentic Thai food because most places in NYC arent quite authentic.",food,negative
The scallion pancakes and fried dumplings were nothing out of the ordinary.,food,neutral
"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",food,positive
The food now is inconsistent.,food,negative
BE CAREFUL before you request extra spice.,food,neutral
The octopus eaters were floored by the Octopus salad.,food,positive
We thought that this place is using too much of MSG cooking in the foods.,food,negative
And the Tom Kha soup was pathetic.,food,negative
I started out with a Bombay beer which was big enough for two.,food,positive
The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,food,conflict
"We've been following chef Lyle's food around New York for 15 years and while remaining classic, his innovations with bistro fare have made us return and return.",food,positive
The best thing I tasted were the lambchops.,food,positive
it's delicious!,food,positive
The spicy tuna and salmon are the best we've ever had.,food,positive
"Meat dishes now adorn the selections, although there's still a large number of vegetarian-friendly choices.",food,neutral
"Try the crunchy tuna, it is to die for.",food,positive
"if you're looking for perfect traditional sushi, go here - if you're looking for interesting combinations, try sushi of gari's (east side).",food,positive
"No refills on fountain drinks, though.",food,negative
Wow over 100 beers to choose from.,food,positive
Be careful of portions - they're HUGE.,food,positive
"The Steak Tartare is a great bet, they fix it for you at the table.",food,positive
Did I mention the wine?,food,neutral
"Plus, on Wednesday nights the house wine is unlimited!",food,positive
Even my Indian friend couldn't believe how good and tasty everything was.,food,positive
The dim sum servings here are a bit larger than I'm used to.,food,neutral
We won't go to this place again for a good meal.,food,negative
"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",food,conflict
"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",food,negative
"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",food,positive
They even have a section in the menu called American Chinese food!,food,negative
kalbi and nebbiolo do work together.,food,neutral
"Best Italian food I ever had (and being Italian, that means alot).",food,positive
I will recommend Scopa to all of my friends for a place to go for wonderful Italian food.,food,positive
I really loved the different and inovated touch that's the cheff gives to the food.,food,positive
They came out over cooked and the cheese was almost non existant.,food,negative
"The food is good, especially their more basic dishes, and the drinks are delicious.",food,positive
But the main hit was the whole grilled fish.,food,positive
Pizza here is consistently good.,food,positive
Sauce was watery and the food didn't have much flavor.,food,negative
My husband and I enjoy Sangria.,food,positive
"But after last night, Spice Grill is the only place I'm eating indian cuisine.",food,positive
"In an area sadly lacking in decent Thai food, this is one of the best spots.",food,positive
The food was average or above including some surprising tasty dishes.,food,positive
They don't seem to place an emphasis on specials or fresh ingredients which to me is necessary for good thai.,food,negative
Other apetizers and food,food,neutral
The noodle and rices dishes taste great.,food,positive
The food's as good as ever.,food,positive
"the food was undercooked-the sauce watery, and the vegetables raw.",food,negative
And the fried clams had just enough kick to them to make 'em worth eating.,food,positive
The sauces used are also not that exciting.,food,negative
The secret is the lunch menu which offers a complimentary appetizer with every entree ordered.,food,positive
The rice was poor quality and was cooked so badly it was hard.,food,negative
We had champagne and caviar and felt like princesses!,food,positive
The shrimp scampi was excellent and the antipasti were plentiful.,food,positive
"If it's just a quick martini at the bar (which I recommend Jeffery's) or a mind blowing Roast Chicken, go to Village!",food,positive
If you like spicy food get the chicken vindaloo.,food,positive
"So much more than the usual bar food, go there to enjoy the menu while sampling one of their hand-crafted beers.",food,positive
And its absolutely DELICIOUS.,food,positive
I would say that all was fine and tasty but the heaviness on my stomach someting that i can't not mention or undermine.,food,conflict
"Their eggplant is so delicate, sweet tender!",food,positive
"Each bite of food at Kai was indeed delicious, fresh, and elegant.",food,positive
My friend got the mushroom pizza which tasted better.,food,positive
"I had the cod with paella (spicy and very filling, I'm a big eater and could only eat half) while my boyfriend had the classic fish and chips (again, a big serving - at least 5 pieces of fish and a basketful of fries).",food,conflict
You should pass on the calamari.,food,negative
"The porcini mushroom pasta special was tasteless, so was the seafood tagliatelle.",food,negative
Try the spicy wontons and the salt pepper shrimps.,food,positive
THE FOOD PORTIONS ARE REALLY LARGE.,food,positive
The fries are yummy.,food,positive
Best Taiwanese food in NY!,food,positive
This place is a great stop for great food.,food,positive
All the pastas are fantastic and the homemade lasagna is some of the best that I have had in the City.,food,positive
"they were dry and disgusting, i didn't even finish my first piece.",food,negative
The hot dogs were cold in the middle and the buns were stale.,food,negative
Beef noodle soup is good as well.,food,positive
"The food's dazzling flavors overwhelm the palate, truly embracing the beauty of authentic Thai cuisine.",food,positive
They pray to their Food Gods to make them into a good pizza like VT's.,food,conflict
.the best I've found outside of the Chinatown masters.,food,positive
The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,food,positive
It looked like shredded cheese partly done - still in strips.,food,negative
The soup is pretty good too.,food,positive
I have never better enjoyed humble root vegetables or a mushroom consomme - and this chef accomplishes without fats.,food,positive
I always get the Shabu-Shabu dinner and the beef is always fresh.,food,positive
The pizza was delivered cold and the cheese wasn't even fully melted!,food,negative
We were very surprised by how good the food was on our first visit here on a Sunday night.,food,positive
The food is amazing!!!!,food,positive
"Having not been home in the last 2 years may skew this reviewer a bit, but the food was tasty and spicy sans the oil that comes floating along at similar venues.",food,positive
"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",food,positive
"The bruscetta is a bit soggy, but the salads were fresh, included a nice mix of greens (not iceberg) all dishes are served piping hot from the kitchen.",food,conflict
The pickles were great addition.,food,positive
"If your favorite Chinese food is General Tao chicken, then this is NOT your place.",food,negative
You must try the shrimp appetizers.,food,positive
The cold appetizer dishes taste like the way I remember them to taste when I was growing up in Taiwan.,food,positive
"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",food,positive
The food at this place is 'gourmet' Indian cuisine.,food,neutral
"While there are plenty of places to go for a good corned beef sandwich, Katz's has a charm about it.",food,positive
"However, looking at the table next to ours, we both sort of wished we had ordered pizza, which looked PERRRRRRRRRFECT.",food,positive
"The fish was adequate, but inexpertly sliced.",food,conflict
Try the olive cream cheese or the lox spread on a whole wheat everything bagel.,food,positive
It's very spicy but not offensive.,food,neutral
The rice to fish ration was also good--they didn't try to overpack the rice.,food,positive
They used shredded cheese on top!,food,neutral
I couldn't reccommend their Godmother pizza any higher.,food,positive
"I am not a vegetarian but, almost all the dishes were great.",food,positive
My friend's food was also the complete opposite of what it's supposed to taste like (aND look like).,food,negative
I ordered the crab cocktail and it was soaked in a lime juice concoction where all you could taste was the lime.,food,negative
I would like to return and try some of the other menu items when I don't have to rush off to a show.,food,positive
"Hopefully next time, I will save room for dessert.",food,neutral
The corned beef was tender and melted in my mouth.,food,positive
"The best Chicken pad tai, I've ever had.",food,positive
Over 100 different choices to create your own.,food,positive
"I almost wanted to write a bad review, so no one would ever go here and I could have all the dumplings to myself!",food,positive
"My turkey burger was not cooked at all, my friends salmon was completely raw.",food,negative
"His drinks are very inventive, delicious and classy.",food,positive
Awsome Pizza especially the Margheritta slice.,food,positive
"Try ordering from the regular menu, then you would not regret!",food,positive
"We started with lox and mussels (the best ive ever had, ever) and had the cod and trout for dinner.",food,positive
"The crispy chicken wasn't for us, though.",food,negative
Food is great.,food,positive
There is a lot of variety even for people who eat vegetarian like me.,food,positive
I recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal!,food,positive
"The wine is always good, the tapas are always yummy, especially with the warm pita bread.",food,positive
The fried rice is really good too.,food,positive
We also had shared a house salad that was fresh.,food,positive
Not a small feat for good french food in the area.,food,positive
Food was average but tasty.,food,positive
"The entree was bland and small, dessert was not inspired.",food,negative
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",food,conflict
"The Pad thai, lad nar and various other dishes all look good on paper but, I've had better thai food in less asthetically pleasing places.",food,conflict
"my picks: Guizhou chicken, fish with hot bean source, fish fillet in spicy source (special menu).",food,positive
Pizza was a little soggy.,food,negative
"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers.",food,positive
The Singapore Mai Fun had NO curry flavor whatsoever.,food,negative
The wine list is interesting and has many good values.,food,positive
I'm still mad that i had to pay for lousy food.,food,negative
Definite go if you're used to good Indian restaurant food from abroad.,food,positive
"By far, the best pizza in Manhattan.",food,positive
"The food is mostly made from scratch, fresh and well prepared.",food,positive
Try the sea bass.,food,positive
The menu choices are similar but the taste lacked more flavor than it looked.,food,conflict
A must for all the Dosa lovers.,food,positive
"The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and entree per person) for two people.",food,positive
The appetizers are just OK and the main courses were decidedly subpar.,food,negative
Someone else recommended the dessert - we also left that.,food,negative
The exotic food is beautifully presented and is a delight in delicious combinations.,food,positive
"Try the mediterranean salad, it is a true experience for your taste buds!!",food,positive
The cream cheeses are out of this world and I love that coffee!!,food,positive
"From the entrees to the sides to the drinks, everything was creatively prepared yet still simple.",food,positive
It was not above ordinary and the beef version had cheap (undercooked) beef.,food,negative
"It was nice and fresh, but I can't give it high scores on being authentic thai.",food,conflict
"Only wine and beer are served, but the house varities are actually quite good.",food,positive
My mouth starts to water merely thinking about the delight that is this restaurant.,food,positive
"Oh, and the complimentary pudding dessert was just enough- yummy!",food,positive
we split a tasty vegetable samosa and the malai tikka wrap.,food,positive
Decent wine selection too.,food,positive
I have to say I have never had a disapointing meal here.,food,positive
Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).,food,conflict
great place to go for a drink too because they have 100 kinds of beer.,food,positive
"My husband said the portions were very small, but if my main course was good to eat the portion would've been fine for me.",food,negative
But the thai is definitely not great -- bland and indistinguished.,food,negative
Stuffing yourself with Japanese food is a rare thing.,food,neutral
Great pizza for lunch place.,food,positive
"I LOVE their spicy scallop roll, and my boyfriend consistently gets the sesame chicken.",food,positive
Best dish is nori-wrapped tuna.,food,positive
The food was absolutely amazing!!,food,positive
The food was good too.,food,positive
"Admittedly, this is not the place for gigantic pieces of fish overflowing the plate (and thank goodness, in my opinion) but for simple, elegant sushi there is no better place in New York or anywhere in the US.",food,positive
The menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them.,food,positive
The white bean brushetta to start was incredible and the pasta was phenomenal.,food,positive
The rest of the menu is limited by everything is good eats.,food,conflict
The menu is nothing like the one on the website.,food,negative
"The flavors are great, and the menu is extensive.",food,positive
The food has been consistant for years and it never lets you down.,food,positive
I found the variety of the sashimi plate to be satisfying - fresh and yummy.,food,positive
The food was spicy and delicious.,food,positive
"Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari.",food,negative
Dahkin also offers prix fixe lunch and buffet.,food,neutral
Great place to grab a hot bagel on the way to work.,food,positive
"It's like they took leftover chicken, poured oil and sprinkled pepper powder over it (the sauce was translucent and red).",food,negative
We were looking forward to nice glass of Sangria when we arrived.,food,positive
We've been to Grocery three times and not once has an item on the menu disappointed.,food,positive
"The food is very good too but for the most part, it's just regular food, nothing special.",food,conflict
A touch more jalapeno heat for contrast and it would have been very good indeed.,food,positive
Tried the pad see ew on the recommendation of the last reviewer since it's one of my favorite dishes.,food,neutral
"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.",food,conflict
This food is asian-air fusion.,food,neutral
"being a fan of spicy ethnic foods, indian included, i made friends with this place long ago.",food,positive
(Always ask the bartender for the SEASONAL beer!!!,food,positive
Every course was better than the next.,food,positive
"Apparently, the good cook works then.",food,positive
The Yellowtail was particularly good as well.,food,positive
I ate clams oreganta and spectacular salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil.,food,positive
"The menu changed, portions were even smaller than before, a lentil dish was salty beyond edibility, a basmati rice dish lacked flavor.",food,negative
"More important, the sushi rivals the best in Tokyo.",food,positive
I have never had cheescake like this.,food,positive
"Fluke sashimi drizzled with jalapeno-lime olive oil, the fruit of the oil nicely highlighting the fish's sweetness.",food,positive
Great sushi experience.,food,positive
My steak au poivre was one of the worst I've had.,food,negative
"Try the congee and the donut like deep fried dough they call Ow Ley Soh, a delicious and sweet tasting bread.",food,positive
"Perhaps this food is considered extreme to an Upper East Side resident, but for the rest of us who've actually eaten ethnic food, this is simply dull.",food,conflict
My friend ordered some of their special sushi rolls which had excellent presentation and tasted great!,food,positive
"my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy.",food,positive
They smell like they stuff them with old canned vegetables like the spinach mushroom calzone.,food,negative
