,text,AC,ACP,label
62,Suan has challenged this loyalty.,anecdotes/miscellaneous,neutral,2.0
63,I went there in late afternoon for some bite size food and refleshment with my date.,anecdotes/miscellaneous,neutral,2.0
64,Went with mommy (the only person who could afford taking me here).,anecdotes/miscellaneous,neutral,2.0
65,My friends and I were on vacation in NY and was referred to Chance by a friend.,anecdotes/miscellaneous,neutral,2.0
66,"I am completely hooked on this place, it is ridiculous.",anecdotes/miscellaneous,positive,3.0
67,"Have recommended the place to friends, always gets good response.",anecdotes/miscellaneous,positive,3.0
68,We will return many times for this oasis in mid-town.,anecdotes/miscellaneous,positive,3.0
69,Enjoy!,anecdotes/miscellaneous,positive,3.0
70,We weren't!,anecdotes/miscellaneous,neutral,2.0
71,This is one of my favorite restaurants and it is not to be missed.,anecdotes/miscellaneous,positive,3.0
72,(La Rosa is connected by a swinging door to the Mexican restaurant Pacifico).,anecdotes/miscellaneous,neutral,2.0
73,It could have been handled better.,anecdotes/miscellaneous,negative,1.0
74,Please be aware that it's CASH or AMEX only!,anecdotes/miscellaneous,neutral,2.0
75,I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,anecdotes/miscellaneous,neutral,2.0
76,"So I've never actually been to M proper, but I've had it delivered a few times.",anecdotes/miscellaneous,neutral,2.0
77,Nice Family owned traditional restaurant.,anecdotes/miscellaneous,positive,3.0
78,We were very pleasantly surprised.,anecdotes/miscellaneous,positive,3.0
79,I will never visit this restaurant again.,anecdotes/miscellaneous,negative,1.0
80,"(or sister, in my case!).",anecdotes/miscellaneous,neutral,2.0
81,I've eaten at many different Indian restaurants.,anecdotes/miscellaneous,neutral,2.0
82,Don't go there!,anecdotes/miscellaneous,negative,1.0
83,Good luck getting a table.,anecdotes/miscellaneous,negative,1.0
84,"We picked it randomly, without a recommendation from someone who has been there, so we weren't sure what to expect.",anecdotes/miscellaneous,neutral,2.0
85,Don't look down your nose at me like that...,anecdotes/miscellaneous,negative,1.0
86,Planet Thai is great!,anecdotes/miscellaneous,positive,3.0
87,Just don't do it.,anecdotes/miscellaneous,negative,1.0
88,Just ignore the trendy wannabes.,anecdotes/miscellaneous,negative,1.0
89,My girlfiends and I ate at O.G. again last night.,anecdotes/miscellaneous,neutral,2.0
90,I wish they had one near my office- I would go everyday.,anecdotes/miscellaneous,positive,3.0
91,Finally!,anecdotes/miscellaneous,positive,3.0
92,"I am not the most experienced person when it comes to Thai food, but my friend who took me there is.",anecdotes/miscellaneous,neutral,2.0
93,You will not be disapointed at all.,anecdotes/miscellaneous,positive,3.0
94,Walk-ins are risky too.,anecdotes/miscellaneous,negative,1.0
95,I recently went to this restaurant with some co-workers for lunch and had an amazing time.,anecdotes/miscellaneous,positive,3.0
96,Open late (well as late as I ever got there and I'm a night person),anecdotes/miscellaneous,positive,3.0
97,"Get your food to go, find a bench, and kick back with a plate of dumplings.",anecdotes/miscellaneous,positive,3.0
98,"We were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.",anecdotes/miscellaneous,negative,1.0
99,Something about them being busy with holiday party's.,anecdotes/miscellaneous,negative,1.0
100,I would highly recommend.,anecdotes/miscellaneous,positive,3.0
101,This place is great.,anecdotes/miscellaneous,positive,3.0
102,"With so many poor experiences to be had in the theater district, is truly an excellent find!",anecdotes/miscellaneous,positive,3.0
103,This has got to be one of the most overrated restaurants in Brooklyn.,anecdotes/miscellaneous,negative,1.0
104,"Went there last night for 2 year anniversery, and wasn't all that impressed.",anecdotes/miscellaneous,negative,1.0
105,At first I was slightly skeptical because it was a sushi restaurant in the middle of NYC.,anecdotes/miscellaneous,neutral,2.0
106,Suan was a recommendation that I am glad we heeded.,anecdotes/miscellaneous,positive,3.0
107,We visit at least once a month.,anecdotes/miscellaneous,neutral,2.0
108,I'll keep this short.,anecdotes/miscellaneous,neutral,2.0
109,"However, it's not worth a special trip.",anecdotes/miscellaneous,negative,1.0
110,Gigino's in Wagner Park is so enjoyable.,anecdotes/miscellaneous,positive,3.0
111,This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,anecdotes/miscellaneous,positive,3.0
112,"If that's a problem, go to McDonald's and destroy your insides.",anecdotes/miscellaneous,negative,1.0
113,I've been here 3 times for lunch and it is one of my favorites in the city.,anecdotes/miscellaneous,positive,3.0
114,Sexy.,anecdotes/miscellaneous,positive,3.0
115,"I will have to say, this Bengali Fast Food joint is clearly my favorite.",anecdotes/miscellaneous,positive,3.0
116,"Even with John's and Joe's around the corner, this place will make a name for itself.",anecdotes/miscellaneous,positive,3.0
117,My girlfriend convinced me to go in the other night for a quick bite.,anecdotes/miscellaneous,neutral,2.0
118,despite the untasteful previous review...,anecdotes/miscellaneous,neutral,2.0
119,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",anecdotes/miscellaneous,positive,3.0
120,"Sure, everyone's got their favorite, but to know Sal, is to know New York.",anecdotes/miscellaneous,neutral,2.0
121,I think that it is absolutely brilliant and well runned business operation.,anecdotes/miscellaneous,positive,3.0
122,"My friends spoke so much about it for months, I finally made the time to come down ear and dine in.",anecdotes/miscellaneous,neutral,2.0
123,I recommend getting a reservation even though we saw people seated without one.,anecdotes/miscellaneous,neutral,2.0
124,This is as good as neighborhood restaurants come.,anecdotes/miscellaneous,neutral,2.0
125,"You order from a menu, so you leave feeling like you missed the full experience.",anecdotes/miscellaneous,negative,1.0
126,One of the more authentic Shanghainese restaurants in the US definitely the best in Manhattan Chinatown.,anecdotes/miscellaneous,positive,3.0
127,We will go back every time we are in the City.,anecdotes/miscellaneous,positive,3.0
128,we love th pink pony.,anecdotes/miscellaneous,positive,3.0
129,So eat fast and order a lot.,anecdotes/miscellaneous,neutral,2.0
130,I have to agree with the previous reviewer.,anecdotes/miscellaneous,neutral,2.0
131,--Eat Club is a roving group of NYC gluttons,anecdotes/miscellaneous,neutral,2.0
132,"If you were there when it first opened, give this restaurant a second chance.",anecdotes/miscellaneous,positive,3.0
133,I went to Del Frisco's Friday night with my boyfriend for an 8:00 reservation.,anecdotes/miscellaneous,neutral,2.0
134,"If you like Sakagura but you feel it's too much, you'd better try Yokocho.",anecdotes/miscellaneous,neutral,2.0
135,yourself a favor and have dinner here and see if you dont agree with me.,anecdotes/miscellaneous,positive,3.0
136,Definitely a great spot for a nice occasion or date.,anecdotes/miscellaneous,positive,3.0
137,You can't go wrong with this place.,anecdotes/miscellaneous,positive,3.0
138,Authentic bistro!,anecdotes/miscellaneous,positive,3.0
139,"Being from the south, there aren't any good delis in my area and while watching Foods across America on PBS I found out about Katz's Deli.",anecdotes/miscellaneous,neutral,2.0
140,One of the earlier people commenting on the restaurant did not get the that some experimenting is going on with the menu in a positive way.,anecdotes/miscellaneous,positive,3.0
141,It's convenient.,anecdotes/miscellaneous,positive,3.0
142,Thanks Bloom's for a lovely trip.,anecdotes/miscellaneous,positive,3.0
143,"Oh right, I should probably say something nice.",anecdotes/miscellaneous,neutral,2.0
144,"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.",anecdotes/miscellaneous,negative,1.0
145,Instead of wasting your time here: SUPPORT RESTAURANTS THAT CARE ABOUT FOOD.,anecdotes/miscellaneous,negative,1.0
146,this is can became on e of the NY Italian Food fare institutions.,anecdotes/miscellaneous,neutral,2.0
147,"David, Daytona Beach, FL",anecdotes/miscellaneous,neutral,2.0
148,Perhaps.,anecdotes/miscellaneous,neutral,2.0
149,Go here.,anecdotes/miscellaneous,positive,3.0
150,If you are in the area try The Bagel Shoppe on 74th street which is 3 blocks away on 2nd Ave.,anecdotes/miscellaneous,positive,3.0
151,Rosario's is without a doubt one of the greatest pizzerias in existence.,anecdotes/miscellaneous,positive,3.0
152,What a great place.,anecdotes/miscellaneous,positive,3.0
153,Don't eat here unless you're starving for thai food and you work next door.,anecdotes/miscellaneous,negative,1.0
154,This tiny Williamsburg spot is always pleasantly surprising.,anecdotes/miscellaneous,positive,3.0
155,"By the time we were done, it was past 1:00am.",anecdotes/miscellaneous,neutral,2.0
156,"Read all the other review, they'll confirm it.",anecdotes/miscellaneous,neutral,2.0
157,"Great idea and base for restaurant, but work on the details, people who think this was good need to go back to the shore towns and rethink what it should have tasted like.",anecdotes/miscellaneous,conflict,
158,I have been twice to this restaurant.,anecdotes/miscellaneous,neutral,2.0
159,You could get a much better dining experience for the same amount of money in a lot of other French Bistros.,anecdotes/miscellaneous,negative,1.0
160,Surprisingly nothing could be further from the truth.,anecdotes/miscellaneous,positive,3.0
161,It's better than being on the roof of Sutton Place with 19 year old interns jabbing you in the ribs all night.,anecdotes/miscellaneous,positive,3.0
162,Its a great place for a casual date or to entertain clients for lunch.,anecdotes/miscellaneous,positive,3.0
163,Fantastic place.,anecdotes/miscellaneous,positive,3.0
164,Definitely not a restaurant to skip!,anecdotes/miscellaneous,positive,3.0
165,Threw my fiance's surprise 30th birthday dinner here couldn't be happier.,anecdotes/miscellaneous,positive,3.0
166,You can do it here.,anecdotes/miscellaneous,neutral,2.0
167,"There was a small wait, but shorter than I expected.",anecdotes/miscellaneous,conflict,
168,I've lived in NY for 5 years and this place has it all.,anecdotes/miscellaneous,positive,3.0
169,I just read Mocaramel's review and felt compelled to respond.,anecdotes/miscellaneous,neutral,2.0
170,It hits the spot every time,anecdotes/miscellaneous,positive,3.0
171,Don't be fooled by crowds of people.,anecdotes/miscellaneous,negative,1.0
172,and there's no way out.,anecdotes/miscellaneous,neutral,2.0
173,"Please if your thinking about it go, and stay the wait you won't be disappointed.",anecdotes/miscellaneous,conflict,
174,"When going out for a nice dinner, I like a nice ambiance as well as very good food.",anecdotes/miscellaneous,neutral,2.0
175,"For all you lazy folks that don't want to come to Alphabet City, I say, good - stay out.",anecdotes/miscellaneous,neutral,2.0
176,"This is my fourth try over a two year period, and I'm done.",anecdotes/miscellaneous,negative,1.0
177,It's simply the best meal in NYC.,anecdotes/miscellaneous,positive,3.0
178,Probably would not go again...,anecdotes/miscellaneous,negative,1.0
179,After passing by this restaurant for sometime I finally decided to go in and have dinner.,anecdotes/miscellaneous,neutral,2.0
180,Tuk Tuk is my second favorite neighborhood Thai place (the first being Joya).,anecdotes/miscellaneous,positive,3.0
181,"Also good for client lunch meetings, esp.",anecdotes/miscellaneous,positive,3.0
182,IT WAS HORRIBLE.,anecdotes/miscellaneous,negative,1.0
183,"The New York Times has reviewed this place three times already, you know it's going to be good.",anecdotes/miscellaneous,positive,3.0
184,I have been to spice three times- twice during lunch and once at dinner.,anecdotes/miscellaneous,neutral,2.0
185,"by dinner time, they turn it around and mount a huge comeback!!",anecdotes/miscellaneous,positive,3.0
186,Maybe it was just an unintentional mistake but I've experienced the same with other restaurants so I don't appreciate such practice.,anecdotes/miscellaneous,negative,1.0
187,I'm going back.,anecdotes/miscellaneous,positive,3.0
188,My friends and I have been going here regularly for two years.,anecdotes/miscellaneous,neutral,2.0
189,"wow! how have i missed this one ,tried Long Tan last week for the first time and now know what the NY TIMES and many more in the neighborhood already knew.",anecdotes/miscellaneous,positive,3.0
190,"Go there on an empty stomach and leave feeling like a baby Veal Calf(ok bad joke), but you will see.",anecdotes/miscellaneous,positive,3.0
191,Me and my girls will definitely go back.,anecdotes/miscellaneous,positive,3.0
192,Ive passed by the spot tons of times always wanting to go in.,anecdotes/miscellaneous,neutral,2.0
193,Have been several times and it never dissapoints.,anecdotes/miscellaneous,positive,3.0
194,This place was not ALL THAT!,anecdotes/miscellaneous,negative,1.0
195,"If you venture off the island of Manhattan and can't seem to find a great Italian restaurant, drive to Corona.",anecdotes/miscellaneous,neutral,2.0
196,My friend from Milan and myself were pleasantly surprised when we arrived and everyone spoke italian.,anecdotes/miscellaneous,positive,3.0
197,Others have to go to other restaurants and feel sad until they're eaten.,anecdotes/miscellaneous,neutral,2.0
198,I have been to Mary's many times and I like it.,anecdotes/miscellaneous,positive,3.0
199,"Searching to get out from the cold, freezing weather, we went into what we thought was a deli.",anecdotes/miscellaneous,negative,1.0
200,HIGHLY RECOMMENDED!!!!!,anecdotes/miscellaneous,positive,3.0
201,This is the best thing in Soho.,anecdotes/miscellaneous,positive,3.0
202,Went here last night and had a pleasant experience.,anecdotes/miscellaneous,positive,3.0
203,I came here with my boyfriend for our anniversary because it was highly recommended to him by a friend.,anecdotes/miscellaneous,neutral,2.0
204,"After reading the good reviews of this restaurant, I decided to give it a try with two friends.",anecdotes/miscellaneous,neutral,2.0
205,It's definately not a place to go if you want to impress someone.,anecdotes/miscellaneous,negative,1.0
206,Wonderful at holiday time.,anecdotes/miscellaneous,positive,3.0
207,The place is a lot of fun.,anecdotes/miscellaneous,positive,3.0
208,"Have eaten at Ginger House several times, and it's always good.",anecdotes/miscellaneous,positive,3.0
209,"As a Japanese native, I've lived in the Tristate area for over 8 years, but I was just so amazed at this place.",anecdotes/miscellaneous,positive,3.0
210,"To give you an idea of how good we thought it was, we ended up going to Ping's three weekends in a row!!!",anecdotes/miscellaneous,positive,3.0
211,"As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry.",anecdotes/miscellaneous,neutral,2.0
212,This was a repeat visit and we'll definitely be back again.,anecdotes/miscellaneous,positive,3.0
213,during happy hour!,anecdotes/miscellaneous,neutral,2.0
214,Good for casual dinner with jeans and sneakers.,anecdotes/miscellaneous,positive,3.0
215,Love YUKA.,anecdotes/miscellaneous,positive,3.0
216,"Go, go, hurry, before everyone finds out about it.",anecdotes/miscellaneous,positive,3.0
217,I am bringing my whole family back next time.,anecdotes/miscellaneous,positive,3.0
218,A guaranteeed delight!,anecdotes/miscellaneous,positive,3.0
219,I have been coming to this neighborhood spot for years.,anecdotes/miscellaneous,neutral,2.0
220,Overall I would recommend it and go back again.,anecdotes/miscellaneous,positive,3.0
221,"Anyway, this is the last time I cross the williamsburg.",anecdotes/miscellaneous,negative,1.0
222,"When I'm feeling stressed by the noise and congestion around my office, I head for Cafe St. Bart's.",anecdotes/miscellaneous,neutral,2.0
223,Guess the 555Soul ads didn't launch her big modeling career.,anecdotes/miscellaneous,neutral,2.0
224,"Besides, we were on vacation!",anecdotes/miscellaneous,neutral,2.0
225,Don't leave without trying One Night in Tokyo.,anecdotes/miscellaneous,positive,3.0
226,Save yourself the time and trouble and skip this one!,anecdotes/miscellaneous,negative,1.0
227,This is my favorite Italian restaurant in all of New York City.,anecdotes/miscellaneous,positive,3.0
228,Definately check it out!!!,anecdotes/miscellaneous,positive,3.0
229,We will be back.,anecdotes/miscellaneous,positive,3.0
230,It seems like this is a place the locals like and the people working here liked it too.,anecdotes/miscellaneous,positive,3.0
231,We were not dissappointed in the least bit by this little gem.,anecdotes/miscellaneous,positive,3.0
232,"We've only eaten in the restaurant once, but we have ordered many times for dinner.",anecdotes/miscellaneous,neutral,2.0
233,I got enough reasons to keep coming back!!!,anecdotes/miscellaneous,positive,3.0
234,You cannot go wrong with this place.,anecdotes/miscellaneous,positive,3.0
235,"It is the type of place to run into old friends and have a late, raucus dinner.",anecdotes/miscellaneous,positive,3.0
236,I have tried literally every restaurant on curry row.,anecdotes/miscellaneous,neutral,2.0
237,"I've been to this monster sushi twice, the 46th st once, the 23rd st one a number of times.",anecdotes/miscellaneous,neutral,2.0
238,Go inside and you won't want to leave.,anecdotes/miscellaneous,positive,3.0
239,I loving bringing friends here - and I do so every chance I get.,anecdotes/miscellaneous,positive,3.0
240,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,anecdotes/miscellaneous,positive,3.0
241,My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent.,anecdotes/miscellaneous,positive,3.0
242,I would go back tho.,anecdotes/miscellaneous,positive,3.0
243,A pleasant surprise.,anecdotes/miscellaneous,positive,3.0
244,We got most of it back at home with us.,anecdotes/miscellaneous,neutral,2.0
245,Get there before 7pm.,anecdotes/miscellaneous,neutral,2.0
246,"if this happens, just ask for real naan.",anecdotes/miscellaneous,neutral,2.0
247,Definitely a neighborhood favorite.,anecdotes/miscellaneous,positive,3.0
248,My first encounter happened one friday evening with a friend.,anecdotes/miscellaneous,neutral,2.0
249,OU MUST TRY THIS RESTAURANT.,anecdotes/miscellaneous,positive,3.0
250,"We left, never to return.",anecdotes/miscellaneous,negative,1.0
251,No apologies during restaurant week.,anecdotes/miscellaneous,negative,1.0
252,"This place started off a little iffy, but is now one of my favorite indian restaurants in NYC (and I'm indian, so I should know).",anecdotes/miscellaneous,conflict,
253,They also do a great job for restaurant week.,anecdotes/miscellaneous,positive,3.0
254,I went to this restaurant with a woman that I met recently.,anecdotes/miscellaneous,neutral,2.0
255,This is where the aforementioned line was.,anecdotes/miscellaneous,neutral,2.0
256,We always go there on the weekends and leave extremely full and satisfied.,anecdotes/miscellaneous,positive,3.0
257,i dont how this place is still running.,anecdotes/miscellaneous,negative,1.0
258,We were in search of food and stumbled on this block of Indian restaurants on East Sixth Street.,anecdotes/miscellaneous,neutral,2.0
259,"Very excited to hear that short-term Chef Jason Narone has moved on, he truly was a low point of their Sterling track record.",anecdotes/miscellaneous,negative,1.0
260,Excellent experience.,anecdotes/miscellaneous,positive,3.0
261,"Well worth the trip, close to City Hall and downtown subway stops.",anecdotes/miscellaneous,positive,3.0
262,What more could you want?,anecdotes/miscellaneous,positive,3.0
263,"If you are the type of person who likes being scared and entertained, this is a great place to go and eat.",anecdotes/miscellaneous,positive,3.0
264,"All in all, I don't see how you can go wrong.",anecdotes/miscellaneous,positive,3.0
265,We were told that the wait was about twenty minutes and there would be no problem for our 8:00 pm curtain call.,anecdotes/miscellaneous,neutral,2.0
266,I'm told that it is open 24hrs which is good.,anecdotes/miscellaneous,positive,3.0
267,What a great place!,anecdotes/miscellaneous,positive,3.0
268,Was surprisingly disappointed.,anecdotes/miscellaneous,negative,1.0
269,I went to Ruby Foo's after work with a group of 6.,anecdotes/miscellaneous,neutral,2.0
270,I'm amazed we haven't been kicked out of this place yet.,anecdotes/miscellaneous,neutral,2.0
271,Katz's has been a NYC original for over 100 years.,anecdotes/miscellaneous,positive,3.0
272,Great find!!!,anecdotes/miscellaneous,positive,3.0
273,"If only they delivered, they'd make a mint!",anecdotes/miscellaneous,positive,3.0
274,I was really disappointed ant wanted to tell everyone not to go eat or even take out food from there.,anecdotes/miscellaneous,negative,1.0
275,"In any event, this is a place I'll be sure to stop by again when I'm in this part of town.",anecdotes/miscellaneous,positive,3.0
276,I definitely wouldn't go back.,anecdotes/miscellaneous,negative,1.0
277,brick oven gallery is My pick for best pizza restaurant anywhere.,anecdotes/miscellaneous,positive,3.0
278,"Growing up in NY, I have eaten my share of bagels.",anecdotes/miscellaneous,neutral,2.0
279,A hearty two thumbs up!,anecdotes/miscellaneous,positive,3.0
280,All pretty good.,anecdotes/miscellaneous,positive,3.0
281,"You can also special order any kind of dumpling,etc.",anecdotes/miscellaneous,positive,3.0
282,you guys rock.,anecdotes/miscellaneous,positive,3.0
283,Chance is a joke.,anecdotes/miscellaneous,negative,1.0
284,I was at Rao's last Wed.,anecdotes/miscellaneous,neutral,2.0
285,Tends to turn people away.,anecdotes/miscellaneous,negative,1.0
286,We thought this a prelude to what the evening will be like.,anecdotes/miscellaneous,neutral,2.0
287,"I was turned on to this restaurant by a fellow foodie friend of mine, and have been going back regularly ever since.",anecdotes/miscellaneous,positive,3.0
288,Went there for an office lunch.,anecdotes/miscellaneous,neutral,2.0
289,I have been doing all of the above at the Heartland Brewery for over 5 years now and I HAVE NEVER BEEN DISAPPOINTED!,anecdotes/miscellaneous,positive,3.0
290,"Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.",anecdotes/miscellaneous,conflict,
291,"If you live outside the neighborhood, don't bother!",anecdotes/miscellaneous,negative,1.0
292,Been going here since it opened have seen the quality value decrease considerably.,anecdotes/miscellaneous,negative,1.0
293,I never had anything I didn't like here.,anecdotes/miscellaneous,positive,3.0
294,"All in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.",anecdotes/miscellaneous,positive,3.0
295,I've been to Joya twice and I will never go again.,anecdotes/miscellaneous,negative,1.0
296,So rushing us out was absolutely unnecessary!,anecdotes/miscellaneous,negative,1.0
297,However it is the ONLY Taiwanese restaurant in town.,anecdotes/miscellaneous,neutral,2.0
298,It is by far my favorite restaurant in Brooklyn.,anecdotes/miscellaneous,positive,3.0
299,Love Pizza 33..,anecdotes/miscellaneous,positive,3.0
300,"I'm from England, and Haru's was the best I had in NYC.",anecdotes/miscellaneous,positive,3.0
301,Less = More in their case.,anecdotes/miscellaneous,positive,3.0
302,Ruby Foo's is a tourist trap.,anecdotes/miscellaneous,negative,1.0
303,I've been here a couple of times and have not been impressed.,anecdotes/miscellaneous,negative,1.0
304,I've been many time and have never been disappointed.,anecdotes/miscellaneous,positive,3.0
305,Ciao Bella,anecdotes/miscellaneous,neutral,2.0
306,My boyfriend and I recently had an early dinner at Artisanal and was satisfied with our experience.,anecdotes/miscellaneous,positive,3.0
307,I absolutely Loved this place.,anecdotes/miscellaneous,positive,3.0
308,I wish I lived there as I would eat at this place as often as possible!,anecdotes/miscellaneous,positive,3.0
309,"If you're in town, it's worth searching for another place.",anecdotes/miscellaneous,negative,1.0
310,I have tried the various slice joints around the village but this is by far the best one.,anecdotes/miscellaneous,positive,3.0
311,Keep up the good work guys!,anecdotes/miscellaneous,positive,3.0
312,Hurley's is terrific!,anecdotes/miscellaneous,positive,3.0
313,Took my sister here before attending a show one evening.,anecdotes/miscellaneous,neutral,2.0
314,Really.,anecdotes/miscellaneous,neutral,2.0
315,Our friends have not arrived yet.,anecdotes/miscellaneous,neutral,2.0
316,"My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary, and to our surprise it was fantastic.",anecdotes/miscellaneous,positive,3.0
317,Never once did I leave feeling unwelcome or impressed.,anecdotes/miscellaneous,conflict,
318,On a hot day it was fabulous to stop in and enjoy lunch.,anecdotes/miscellaneous,positive,3.0
319,I usually go there later at night when I get off work so I don't have to deal with crowds or lines.,anecdotes/miscellaneous,neutral,2.0
320,Wouldn't recomend it for dinner!,anecdotes/miscellaneous,negative,1.0
321,Tell them Herky sent you and get a free confused look from the waiter.,anecdotes/miscellaneous,neutral,2.0
322,Your friends will thank you for introducing them to this gem!,anecdotes/miscellaneous,positive,3.0
323,I absolutely love this place!!!,anecdotes/miscellaneous,positive,3.0
324,I am surprised to say the least and find such practice not worth the effort.,anecdotes/miscellaneous,negative,1.0
325,There are other Vietnamese restaurants in the chinatown area and you can forget about those.,anecdotes/miscellaneous,neutral,2.0
326,No thanks!!!,anecdotes/miscellaneous,negative,1.0
